0         ,1        ,2             ,3
longitude ,latitude ,baro_altitude ,velocity
11.2895   ,51.9831  ,11894.82      ,230.55
6.6428    ,46.5234  ,              ,17.42
-103.9462 ,39.6528  ,5570.22       ,206.39
-76.5734  ,36.4814  ,8199.12       ,169.67
-122.3093 ,47.4444  ,              ,0
-81.0541  ,31.8103  ,13716         ,232.17
-102.5472 ,38.6344  ,11277.6       ,268.38
3.2049    ,49.3592  ,11590.02      ,206.63
-92.8612  ,34.4975  ,10363.2       ,185.31
-1.2943   ,51.1403  ,5181.6        ,158.61
138.5352  ,-34.9461 ,              ,6.69
-91.7802  ,38.9952  ,10668         ,252.83
-77.1286  ,44.3994  ,7002.78       ,178.89
-77.5245  ,37.3541  ,1859.28       ,103.68
-74.1233  ,40.691   ,434.34        ,69.04
-91.942   ,28.4551  ,9753.6        ,147.03
-70.695   ,21.3636  ,12496.8       ,201.18
-114.0146 ,44.333   ,11887.2       ,244.2
-83.7896  ,39.7538  ,13106.4       ,184.22
-81.4111  ,29.9167  ,274.32        ,43.15
5.426     ,48.8615  ,11887.2       ,238.54
-110.9921 ,30.4347  ,11170.92      ,240.42
-92.319   ,33.5358  ,10668         ,264.99
8.55      ,47.4615  ,              ,11.83
-103.9993 ,41.6954  ,10363.2       ,226.41
-80.602   ,35.5239  ,716.28        ,50.94
174.4623  ,-36.3701 ,6096          ,134.71
-101.5676 ,38.3786  ,11277.6       ,282.7
-90.351   ,30.5663  ,975.36        ,48.97
-46.2414  ,-19.238  ,5486.4        ,129.6
1.5308    ,50.3285  ,10561.32      ,211.2
6.4441    ,46.4449  ,1882.14       ,94.23
-96.4668  ,35.2188  ,9753.6        ,200.64
-98.0842  ,29.7162  ,7711.44       ,59.59
-84.2816  ,32.9639  ,9745.98       ,207.94
144.8513  ,-37.6624 ,144.78        ,72.76
-82.759   ,27.9771  ,-68.58        ,15.42
-101.8678 ,41.2897  ,10972.8       ,214.89
-97.6543  ,33.0652  ,792.48        ,42.69
151.96    ,-24.8414 ,10965.18      ,220.25
-5.3385   ,42.3984  ,10965.18      ,254.23
-100.9304 ,41.2502  ,13716         ,231.96
-76.4378  ,40.9915  ,342.9         ,45.76
-113.6019 ,32.8287  ,10507.98      ,185.64
-95.2807  ,42.5942  ,10668         ,242.4
-75.5314  ,39.7414  ,6332.22       ,218.78
-121.5109 ,38.4526  ,419.1         ,54.65
-112.005  ,34.7223  ,9311.64       ,240.9
-81.0684  ,30.9072  ,10972.8       ,244.4
-97.2279  ,35.3789  ,1950.72       ,125.42
152.9274  ,-27.377  ,4015.74       ,176.59
-83.4461  ,42.6701  ,579.12        ,38.58
152.1408  ,-32.1945 ,10767.06      ,244.1
151.2526  ,-33.8134 ,1722.12       ,148.93
21.8175   ,47.2814  ,10965.18      ,199.35
-153.4412 ,61.1535  ,7315.2        ,126.64
-123.0188 ,44.4647  ,960.12        ,36.96
-78.7397  ,36.0477  ,1264.92       ,116.32
-105.0013 ,39.4187  ,4030.98       ,150.22
-95.5858  ,35.7861  ,754.38        ,62.21
-66.2754  ,18.766   ,3642.36       ,194.97
-87.9014  ,42.1155  ,              ,2.83
2.2269    ,44.2072  ,11582.4       ,241.92
-122.2697 ,46.5638  ,11590.02      ,232.01
-90.1989  ,39.1033  ,5654.04       ,208.32
-80.0421  ,26.9457  ,1706.88       ,138.31
-81.0593  ,26.9517  ,6096          ,120.04
-106.6658 ,37.9381  ,11277.6       ,252.22
-108.7934 ,49.4992  ,10972.8       ,223.83
-74.3934  ,22.5077  ,7315.2        ,226.91
-114.147  ,33.173   ,11277.6       ,262.02
-82.5618  ,31.9711  ,8839.2        ,192.2
-79.5766  ,33.3701  ,10972.8       ,206.9
-116.6879 ,33.0591  ,2499.36       ,62.05
-0.8746   ,47.2216  ,11590.02      ,243.56
-3.0834   ,48.834   ,11887.2       ,212.11
-87.8014  ,34.5117  ,4716.78       ,244.56
-74.0998  ,40.2436  ,10668         ,312.48
5.8022    ,46.3575  ,10668         ,210.61
-2.2054   ,48.5885  ,11582.4       ,241.65
8.557     ,47.4536  ,              ,0
3.8967    ,52.0525  ,7391.4        ,169.24
-85.5694  ,38.016   ,2590.8        ,157.91
